-0.0526;    -0.2418;    9.5411
0.0518;    -0.2615;    9.6861
0.0343;    -0.2850;    9.8047
0.0591;    -0.2922;    9.9094
0.1070;    -0.2836;    9.1861
0.1229;    -0.3192;    9.1998
0.0515;    -0.2950;    9.5476
-0.0461;    -0.1948;    9.4757
0.0129;    -0.1630;    9.3444
0.0594;    -0.2141;    10.2425
-0.0768;    -0.2572;    10.0810
-0.1039;    -0.2762;    9.8656
-0.0725;    -0.2682;    10.2624
-0.0600;    -0.2924;    10.2816
-0.0265;    -0.2750;    10.3215
-0.0994;    -0.2995;    10.2933
0.0263;    -0.2933;    10.0672
-0.0183;    -0.2382;    10.1339
0.0055;    -0.2186;    9.4289
0.0288;    -0.2498;    9.6947
0.0752;    -0.2671;    9.8435
0.0368;    -0.3061;    9.2092
0.1275;    -0.3180;    9.1655
0.0773;    -0.3178;    9.2735
0.0723;    -0.2672;    9.5871
-0.0301;    -0.2164;    9.4007
0.0223;    -0.1969;    9.2907
0.0774;    -0.2425;    9.2211
-0.0949;    -0.2535;    10.0221
-0.0966;    -0.2596;    9.7952
-0.0742;    -0.2425;    10.2769
-0.0447;    -0.2881;    10.3251
-0.0734;    -0.2618;    10.3430
-0.0739;    -0.2216;    9.9527
-0.0106;    -0.2744;    10.0628
-0.0052;    -0.2175;    10.2305
-0.0400;    -0.2055;    9.4249
0.0873;    -0.2753;    9.5690
0.0363;    -0.3058;    9.8145
0.0829;    -0.2279;    9.2298
0.1125;    -0.3399;    9.1381
0.0891;    -0.3689;    9.2004
0.0287;    -0.3170;    9.6105
-0.0400;    -0.1984;    9.4288
0.0312;    -0.2058;    9.3134
0.0926;    -0.2507;    10.2636
-0.0924;    -0.2463;    10.1082
-0.0746;    -0.2618;    9.8858
-0.0704;    -0.2488;    9.6140
-0.0564;    -0.2558;    10.3177
-0.0355;    -0.2880;    10.3141
-0.1144;    -0.2862;    10.2644
0.0260;    -0.2764;    10.0680
-0.0126;    -0.2260;    10.2199
-0.0058;    -0.2070;    9.4650
0.0097;    -0.2955;    9.6776
0.0685;    -0.3024;    9.8069
0.0396;    -0.3318;    9.2089
0.1134;    -0.3041;    9.1729
0.0829;    -0.3466;    9.1833
0.0876;    -0.3154;    9.3529
-0.0219;    -0.2049;    9.4161
0.0291;    -0.2120;    9.3200
0.1097;    -0.2415;    9.2173
-0.1195;    -0.2620;    10.0526
-0.0955;    -0.2687;    9.8383
-0.0925;    -0.2392;    10.2770
-0.0198;    -0.2344;    10.3503
-0.0871;    -0.2757;    10.3552
-0.0682;    -0.2826;    9.9417
0.0060;    -0.2666;    10.0626
0.0166;    -0.2188;    10.2394
-0.0458;    -0.2084;    10.2960
0.0714;    -0.2801;    9.6646
0.0394;    -0.3149;    9.7937
0.0426;    -0.3092;    9.9424
0.1117;    -0.3233;    9.1569
0.1066;    -0.3297;    9.2409
0.0386;    -0.3210;    9.5501
-0.0292;    -0.1951;    9.4276
0.0183;    -0.1789;    9.3277
0.0892;    -0.2215;    9.2611
-0.0849;    -0.2502;    10.0205
-0.1006;    -0.2598;    9.8349
-0.0714;    -0.2751;    9.6228
-0.0530;    -0.2799;    10.2948
-0.0458;    -0.2850;    10.3030
-0.1030;    -0.2884;    10.2880
0.0346;    -0.2814;    10.0890
-0.0157;    -0.2440;    10.1573
-0.0119;    -0.2246;    9.4348
0.0338;    -0.2686;    9.6841
0.0621;    -0.3036;    9.8385
0.0450;    -0.3129;    9.1793
0.1145;    -0.3408;    9.1719
0.1111;    -0.3437;    9.2062
0.0707;    -0.3280;    9.3762
-0.0295;    -0.1873;    9.4617
0.0193;    -0.1898;    9.3350
0.0781;    -0.2309;    9.2092
-0.1253;    -0.2517;    10.0927
-0.0682;    -0.2568;    9.8478
-0.0860;    -0.2279;    10.2405
-0.0216;    -0.2868;    10.3071
-0.0680;    -0.3008;    10.3019
-0.0600;    -0.2716;    9.9343
-0.0025;    -0.2993;    10.0235
0.0037;    -0.2420;    10.1712
